DENOM_CIA,ano,lucro_liquido,ativos_totais,ROA,pais
Celestica Inc,2020,60.6,3664.1,1.6538849922218282,3
Dundee Precious Metals Inc,2020,194863.0,97486.0,199.88818907330284,3
Ero Copper Corp,2020,52498.0,497099.0,10.560874192062347,3
Ero Copper Corp,2020,52498.0,497099.0,10.560874192062347,3
Freehold Royalties Ltd,2020,-13931.0,829909.0,-1.6786177761658205,3
Corridor Resources Inc,2020,0.0,0.0,,3
Imperial Oil Limited,2020,-1857.0,38031.0,-4.882858720517472,3
Interfor Corporation,2020,280296.0,1843187.0,15.207138505208642,3
Loblaw Companies Limited,2020,1192.0,35873.0,3.3228333286873135,3
Magna International Inc,2020,677.0,28605.0,2.3667191050515646,3
Methanex Corporation,2020,-125327.0,5696051.0,-2.2002436424814316,3
MTY Food Group Inc,2020,-36895.0,2013697.0,-1.8322021634833838,3
NOVAGOLD RESOURCES INC,2020,-33564.0,224441.0,-14.954486925294397,3
Nutrien Ltd,2020,459.0,47192.0,0.9726224783861672,3
PrairieSky Royalty Ltd,2020,31.7,2607.7,1.2156306323580166,3
SANDSTORM GOLD LTD,2020,13817.0,649921.0,2.125950692468777,3
Shopify Inc,2020,319509.0,7762905.0,4.115843231367639,3
SNC-Lavalin Group Inc,2020,-956273.0,10340278.0,-9.248039559477995,3
Spin Master Corp,2020,45.5,1342.1,3.390209373370092,3
Suncor Energy Inc,2020,-4319.0,84616.0,-5.104235605559233,3
Suncor Energy Inc,2020,-4319.0,84616.0,-5.104235605559233,3
Tamarack Valley Energy Ltd,2020,-311384.0,1027600.0,-30.30206305955625,3
TC Energy Corporation,2020,4913.0,5201.0,94.46260334551047,3
Topaz Energy Corp,2020,3089.0,1008546.0,0.30628250967234016,3
Constellation Software Inc_,2020,436.0,4375.0,9.965714285714286,3
GFL Environmental Inc,2020,-994.9,15730.0,-6.324856961220597,3
CAE Inc_,2020,318.9,8483.6,3.7590173982743167,3
Jamieson Wellness Inc_,2020,41598.0,609341.0,6.826719357469792,3
Suncor Energy Inc,2020,-4319.0,84616.0,-5.104235605559233,3
Suncor Energy Inc,2020,-4319.0,84616.0,-5.104235605559233,3
Dollarama Inc,2020,564039.0,3716456.0,15.176797465111925,3
The North West Company Inc,2020,86273.0,1215536.0,7.097527345960959,3
NexGen Energy Ltd,2020,-114490129.0,357392071.0,-32.0348822176304,3
Boralex Inc,2020,61.0,5314.0,1.1479111780203237,3
Canada Goose Holdings Inc,2020,151.7,1120.3,13.541015799339462,3
Centerra Gold Inc,2020,408538.0,3136009.0,13.02732230679185,3
Precision Drilling Corporation,2020,-120138.0,2898878.0,-4.1442930678697065,3
Paramount Resources Ltd,2020,-22693.0,3496995.0,-0.6489285801094941,3
Vermilion Energy Inc,2020,-1517427.0,4109139.0,-36.928100996340106,3
Ero Copper Corp,2020,52498.0,497099.0,10.560874192062347,3
Ero Copper Corp,2020,52498.0,497099.0,10.560874192062347,3
Enghouse Systems Limited,2020,9859.0,357352.0,2.7589043855917974,3
Tourmaline Oil Corp,2020,618311.0,12790200.0,4.834255914684681,3
Keyera Corp,2020,6203.0,7562586.0,0.0820222077474557,3
Advantage Energy Ltd,2021,411354.0,199499.0,206.19351475445993,3
Agnico Eagle Mines Limited,2021,561945.0,10216090.0,5.500587798267243,3
B2Gold Corp,2021,460825.0,3561293.0,12.939822699227499,3
