Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Brazil,BRA,GDP (current LCU),NY.GDP.MKTP.CN,4814760000000,5331619000000,5778953000000,5995787000000,6269328000000,6585479000000,7004141000000,7389131000000,7609597000000,8898727000000,9915317000000
Brazil,BRA,GDP (constant LCU),NY.GDP.MKTP.KN,4117908023600,4241643857400,4263019865100,4111863267300,3977162043300,4029774689200,4101652440900,4151724504300,4015682506400,4216018871100,4338305789200
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 12/18/2023,,,,,,,,,,,,,,
