"ano","exportacoes","importacoes"
"2012",241982.43345516,225074.04396008
"2013",241511.05647531,241142.07924822
"2014",223971.304319495,230710.24809542
"2015",189913.957044055,172469.00539553
"2016",184266.8047064,139723.19845824
"2017",218000.49358413,160675.458906
"2018",239519.568687195,196146.8163584
"2019",225799.578379535,199252.8490472
"2020",210707.013474525,178337.41511319
"2021",284011.79674651,247648.42491228
"2022",340327.96399345,296174.69762533
